processo,tipo_anomalia,descricao,arquivo_origem,numero_linha_arquivo
0000585-02.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,569
0002141-73.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,570
0000365-04.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,573
0000583-32.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,574
0000140-81.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,578
0002625-88.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,579
0002628-43.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,583
0002331-36.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,584
0000032-52.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,588
0000604-08.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,589
0001815-16.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,592
0001667-41.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,593
0001872-34.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,595
0000555-64.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,598
0002543-57.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,599
0002334-88.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,601
0002572-10.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,604
0002647-49.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,605
0002155-57.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,607
0002214-45.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,611
0000279-33.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,612
0000333-96.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,616
0000180-26.2026.5.12.0008,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,619
0001511-17.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,621
0002571-25.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,623
0002519-29.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,625
0002595-89.2025.5.12.0016,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,627
0001676-64.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,629
0002485-54.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,631
0000255-05.2026.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,632
0002665-70.2025.5.12.0028,UNIDADE_NAO_CLASSIFICADA,Unidade nao classificada: 'NÚCLEO DE JUSTIÇA 4.0 DE COOPERAÇÃO JUDICIÁRIA',processos_28-07-2026.CSV,635
